# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.load.module.ms,1742024986478000000,1742025046472000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1742024986478000000,1742025046472000000,3
jps.global.get.library.ms,1742024986478000000,1742025046472000000,0
jps.apply.loaded.storage.ms,1742024986478000000,1742025046472000000,12
JVM.totalCpuTimeMs,1742024986478000000,1742025046472000000,6721
JVM.GC.collectionTimesMs,1742024986478000000,1742025046472000000,14
JVM.maxHeapBytes,1742024986478000000,1742025046472000000,2147483648
JVM.usedNativeBytes,1742024986478000000,1742025046472000000,324927784
JVM.usedHeapBytes,1742024986478000000,1742025046472000000,246968016
JVM.threadCount,1742024986478000000,1742025046472000000,52
JVM.maxNativeBytes,1742024986478000000,1742025046472000000,-1
JVM.totalBytesAllocated,1742024986478000000,1742025046472000000,85365408
OS.loadAverage,1742024986478000000,1742025046472000000,2.6455078125
JVM.GC.collections,1742024986478000000,1742025046472000000,1
StorageLockContext.competingThreads.avg,1742024986478000000,1742025046472000000,0.0
FilePageCacheLockFree.totalPagesWriteMs,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.totalPagesHandedOver,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1742024986478000000,1742025046472000000,120
FilePageCache.totalPageDisposalsUs,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1742024986478000000,1742025046472000000,0
DirectByteBufferAllocator.hits,1742024986478000000,1742025046472000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.totalBytesRequested,1742024986478000000,1742025046472000000,0
FilePageCache.uncachedFileAccess,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1742024986478000000,1742025046472000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.heapBytesInUse,1742024986478000000,1742025046472000000,0
MappedFileStorage.storages,1742024986478000000,1742025046472000000,14
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1742024986478000000,1742025046472000000,246456320
FilePageCache.capacityInBytes,1742024986478000000,1742025046472000000,503316478
StorageLockContext.competingThreads.max,1742024986478000000,1742025046472000000,0
StreamlinedBlobStorage.recordsAllocated,1742024986478000000,1742025046472000000,0
StorageLockContext.competingThreads.90P,1742024986478000000,1742025046472000000,0
MappedFileStorage.totalBytesMapped,1742024986478000000,1742025046472000000,128188416
DirectByteBufferAllocator.disposed,1742024986478000000,1742025046472000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1742024986478000000,1742025046472000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1742024986478000000,1742025046472000000,544
FilePageCacheLockFree.totalBytesWritten,1742024986478000000,1742025046472000000,0
MappedFileStorage.totalPagesMapped,1742024986478000000,1742025046472000000,14
StreamlinedBlobStorage.recordsDeleted,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.totalPagesReadMs,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1742024986478000000,1742025046472000000,0
FilePageCacheLockFree.nativeBytesInUse,1742024986478000000,1742025046472000000,24576
FilePageCacheLockFree.housekeeperTimeSpentMs,1742024986478000000,1742025046472000000,54
FilePageCacheLockFree.totalHeapBytesAllocated,1742024986478000000,1742025046472000000,0
DirectByteBufferAllocator.reclaimed,1742024986478000000,1742025046472000000,0
